fold,train_end,test_start,test_end,n_train,n_test,oos_r2,mean_ic,icir,n_ic_dates,coverage_pct,top_bottom_tercile_spread,feature_group,model
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-265.5060536265705,0.028023598820059007,0.06755423571386096,113,100.0,0.002465538299519594,combined,baseline
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-166.93693967599717,0.0897597977243995,0.19068741935127373,113,100.0,0.007184021174097199,combined,baseline
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-126.73269885432985,-0.01517067003792668,-0.036176153000967416,113,100.0,-0.0015553392033517725,combined,baseline
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-1651226055.0720289,0.07269279393173196,0.1849098634852011,113,100.0,0.008686279070713926,combined,baseline
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-307.04606857225235,0.07016434892541089,0.14775187600396378,113,100.0,0.008730288634218852,combined,baseline
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-332.8466896273798,0.030552043826380104,0.06396757803010067,113,100.0,0.002680613678699055,combined,baseline
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-0.004343674913779738,-0.01748841129372103,-0.04490792656920857,113,100.0,-0.000492075757260844,combined,ols
1,2015-11-06,2015-11-06,2017-12-29,4520,904,5.4929565179495654e-05,0.004424778761061951,0.011805339609871842,113,100.0,0.0006843989415889571,combined,ols
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.010012285541186161,-0.0457227138643068,-0.10509917564959236,113,100.0,-0.0024488340980942185,combined,ols
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-143084.32408279064,0.01622418879056047,0.03985946812389425,113,100.0,0.0019532908832596806,combined,ols
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-0.008557333469315198,0.0450906026127265,0.11871794825255828,113,100.0,0.003429911082522325,combined,ols
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-0.0007141781779289591,0.027180783817951956,0.06349734821165992,113,100.0,0.002669190079434753,combined,ols
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-0.004276890406230693,-0.014749262536873154,-0.0378082154828887,113,100.0,-0.00040719166243408653,combined,ridge
1,2015-11-06,2015-11-06,2017-12-29,4520,904,5.7306970838166826e-05,0.0040033712600084335,0.010663993571373997,113,100.0,0.0006843989415889571,combined,ridge
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.009990581584839342,-0.04593341761483355,-0.1055903510913782,113,100.0,-0.0025337827996509965,combined,ridge
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-143025.0641932654,0.01622418879056047,0.03985946812389425,113,100.0,0.0019532908832596806,combined,ridge
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-0.008518417500149145,0.04361567635903919,0.11525379458747982,113,100.0,0.0031955589631253384,combined,ridge
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-0.0007155194528338793,0.02570585756426464,0.06011443332706802,113,100.0,0.002669190079434753,combined,ridge
0,2013-09-06,2013-09-06,2015-10-30,3616,904,0.0026971275697159625,0.06953223767383059,0.18637674284605113,113,100.0,0.004527365237231216,combined,elastic_net
1,2015-11-06,2015-11-06,2017-12-29,4520,904,0.0011135881314650042,0.03413400758533502,0.08880964558284701,113,100.0,0.003331304565610994,combined,elastic_net
2,2018-01-05,2018-01-05,2020-02-28,5424,904,0.002436039273309487,0.08048883270122209,0.15716322693954662,113,100.0,0.004784372340654246,combined,elastic_net
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-31097.41736418926,-0.006742520016856307,-0.01567328399144318,113,100.0,-0.0005164362223286703,combined,elastic_net
4,2022-05-06,2022-05-06,2024-06-28,7232,904,0.0074398655478522535,0.10598398651495998,0.2723167438824621,113,100.0,0.011232956904066912,combined,elastic_net
5,2024-07-05,2024-07-05,2026-08-28,8136,904,0.0011254981353648885,0.05183312262958281,0.1100493719834402,113,100.0,0.00324131674337004,combined,elastic_net
0,2013-09-06,2013-09-06,2015-10-30,3616,904,0.0002932437666837151,-0.008266483423869028,-0.021144356779696487,113,100.0,0.0012394333815619833,combined,lightgbm
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-0.044409924733154194,0.017398878160575056,0.03992753484037092,113,100.0,-0.0023782767886703937,combined,lightgbm
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.004767558276134398,-0.02064896755162243,-0.04670663443151249,113,100.0,0.0018720611825333194,combined,lightgbm
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-0.05262817059828162,-0.0033124816463131175,-0.0081381483417064,113,100.0,0.002674282099438641,combined,lightgbm
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-0.025418063958456694,0.057916325052894006,0.12867718894651614,113,100.0,0.0028879990474366068,combined,lightgbm
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-0.015273349817169768,0.021569926192550895,0.05022814167869574,113,100.0,0.00248176741816872,combined,lightgbm
