factor,year,mean_ic,n_dates
realized_vol_20d,2018,-0.008241758241758242,52
realized_vol_20d,2019,0.1675824175824176,52
realized_vol_20d,2020,0.0426774483378257,53
realized_vol_20d,2021,0.06684981684981685,52
realized_vol_20d,2022,-0.0315934065934066,52
realized_vol_20d,2023,0.09798534798534798,52
realized_vol_20d,2024,0.06776556776556777,52
realized_vol_20d,2025,0.08836996336996338,52
realized_vol_20d,2026,0.0020408163265306146,35
downside_vol_20d,2005,0.11458333333333336,48
downside_vol_20d,2006,0.041666666666666664,52
downside_vol_20d,2007,0.10347985347985349,52
downside_vol_20d,2008,-0.038003663003663014,52
downside_vol_20d,2009,0.04761904761904762,53
downside_vol_20d,2010,-0.010073260073260084,52
downside_vol_20d,2011,-0.04761904761904764,52
downside_vol_20d,2012,0.027014652014652023,52
downside_vol_20d,2013,0.07875457875457877,52
downside_vol_20d,2014,-0.00045787545787545413,52
downside_vol_20d,2015,0.046720575022461824,53
downside_vol_20d,2016,0.04990842490842492,52
downside_vol_20d,2017,0.06272893772893773,52
downside_vol_20d,2018,-0.021062271062271067,52
downside_vol_20d,2019,0.11309523809523811,52
downside_vol_20d,2020,-0.03683737646001798,53
downside_vol_20d,2021,0.027930402930402925,52
downside_vol_20d,2022,-0.050366300366300375,52
downside_vol_20d,2023,0.10393772893772896,52
downside_vol_20d,2024,0.0018315018315018272,52
downside_vol_20d,2025,0.07646520146520147,52
downside_vol_20d,2026,0.003401360544217686,35
momentum_12_1,2006,0.02793040293040293,52
momentum_12_1,2007,0.20833333333333334,52
momentum_12_1,2008,0.025183150183150187,52
momentum_12_1,2009,-0.007637017070979345,53
momentum_12_1,2010,-0.02152014652014652,52
momentum_12_1,2011,0.031135531135531136,52
momentum_12_1,2012,0.023351648351648355,52
momentum_12_1,2013,0.045787545787545805,52
momentum_12_1,2014,0.0073260073260073295,52
momentum_12_1,2015,0.007637017070979346,53
momentum_12_1,2016,0.07417582417582419,52
momentum_12_1,2017,0.09386446886446888,52
momentum_12_1,2018,-0.0608974358974359,52
momentum_12_1,2019,0.028388278388278395,52
momentum_12_1,2020,0.08984725965858043,53
momentum_12_1,2021,0.0073260073260073225,52
momentum_12_1,2022,-0.03800366300366302,52
momentum_12_1,2023,-0.005036630036630036,52
momentum_12_1,2024,0.10805860805860806,52
momentum_12_1,2025,-0.01968864468864469,52
momentum_12_1,2026,0.008163265306122448,35
amihud_20d,2005,-0.06746031746031748,48
amihud_20d,2006,-0.007326007326007332,52
amihud_20d,2007,-0.12271062271062273,52
amihud_20d,2008,0.020146520146520155,52
amihud_20d,2009,-0.050763701707097944,53
amihud_20d,2010,-0.05219780219780222,52
amihud_20d,2011,-0.07371794871794873,52
amihud_20d,2012,0.03731684981684982,52
amihud_20d,2013,0.059523809523809534,52
amihud_20d,2014,-0.0009157509157509189,52
amihud_20d,2015,0.012129380053908371,53
amihud_20d,2016,-0.10302197802197803,52
amihud_20d,2017,-0.1501831501831502,52
amihud_20d,2018,0.030677655677655676,52
amihud_20d,2019,-0.14789377289377292,52
amihud_20d,2020,-0.14128481581311772,53
amihud_20d,2021,-0.08081501831501835,52
amihud_20d,2022,0.08791208791208792,52
amihud_20d,2023,-0.11309523809523812,52
amihud_20d,2024,-0.07554945054945056,52
amihud_20d,2025,-0.0521978021978022,52
amihud_20d,2026,0.0380952380952381,35
operating_margin,2021,0.07560975609756097,41
operating_margin,2022,-0.15192307692307688,52
operating_margin,2023,0.11730769230769231,52
operating_margin,2024,-0.12307692307692307,52
operating_margin,2025,-0.01730769230769231,52
operating_margin,2026,-0.02857142857142857,35
book_to_market,2010,-0.01222527472527473,52
book_to_market,2011,-0.02788461538461538,52
book_to_market,2012,0.026236263736263737,52
book_to_market,2013,0.050824175824175824,52
book_to_market,2014,-0.0947802197802198,52
book_to_market,2015,0.002695417789757407,53
book_to_market,2016,0.03173076923076923,52
book_to_market,2017,-0.12184065934065937,52
book_to_market,2018,-0.04601648351648351,52
book_to_market,2019,-0.05851648351648353,52
book_to_market,2020,-0.11900269541778978,53
book_to_market,2021,-0.12980769230769235,52
book_to_market,2022,0.06593406593406595,52
book_to_market,2023,-0.0511904761904762,52
book_to_market,2024,-0.017124542124542116,52
book_to_market,2025,0.059615384615384626,52
book_to_market,2026,0.051496598639455785,35
leverage,2010,-0.036538461538461534,52
leverage,2011,-0.08653846153846154,52
leverage,2012,0.04038461538461538,52
leverage,2013,0.05,52
leverage,2014,-0.12115384615384614,52
leverage,2015,0.005660377358490575,53
leverage,2016,-0.08791208791208792,52
leverage,2017,-0.049450549450549455,52
leverage,2018,0.034065934065934084,52
leverage,2019,0.1142857142857143,52
leverage,2020,-0.015633423180592996,53
leverage,2021,-0.049450549450549455,52
leverage,2022,0.009890109890109893,52
leverage,2023,0.020879120879120874,52
leverage,2024,-0.0054945054945054975,52
leverage,2025,-0.042857142857142864,52
leverage,2026,-0.13469387755102044,35
roa,2010,-0.7999999999999999,1
roa,2011,0.04615384615384614,52
roa,2012,-0.125,52
roa,2013,-0.0730769230769231,52
roa,2014,0.007692307692307685,52
roa,2015,-0.1509433962264151,53
roa,2016,-0.08846153846153845,52
roa,2017,0.05961538461538462,52
roa,2018,0.049999999999999996,52
roa,2019,-0.07115384615384615,52
roa,2020,-0.03773584905660377,53
roa,2021,0.11666666666666668,52
roa,2022,-0.07326007326007328,52
roa,2023,0.051282051282051294,52
roa,2024,-0.00824175824175824,52
roa,2025,0.016483516483516484,52
roa,2026,0.010884353741496601,35
